AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	collection_date	label	dogname	rep	food	additive	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	biome	breed	disease	disease_stage	geographic_location	health_state	phenotype	sample_type	sex	tissue
545	SAMN01889113	SRX220106	7	17	SRR653246	SRS387687	Camilla-Kibble.454Reads.sff	6	1-May-09	Camilla-Kibble	Camilla	none	kibble	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
547	SAMN01889116	SRX220109	6	14	SRR653249	SRS387690	Coco-3BeefInulin.454Reads.sff	5.5	8-Aug-09	Coco-3BeefInulin	Coco	3	beef	inulin	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
544	SAMN01889118	SRX220111	7	16	SRR653251	SRS387692	Coco-5ChickenInulin.454Reads.sff	5.5	18-Sep-09	Coco-5ChickenInulin	Coco	5	chicken	inulin	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
540	SAMN01889120	SRX220113	6	14	SRR653253	SRS387694	Coco-Kibble.454Reads.sff	5.5	1-May-09	Coco-Kibble	Coco	none	kibble	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
539	SAMN01889123	SRX220116	8	19	SRR653256	SRS387697	Harri-3BeefControl.454Reads.sff	5	7-Aug-09	Harri-3BeefControl	Harri	3	beef	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
549	SAMN01889125	SRX220118	7	17	SRR653258	SRS387699	Harri-5ChickenYCW.454Reads.sff	5	18-Sep-09	Harri-5ChickenYCW	Harri	5	chicken	YCW	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
541	SAMN01889126	SRX220119	8	19	SRR653259	SRS387701	Harri-6BeefYCW.454Reads.sff	5	9-Oct-09	Harri-6BeefYCW	Harri	6	beef	YCW	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
545	SAMN01889131	SRX220124	6	15	SRR653264	SRS387704	Kala-4ChickenInulin.454Reads.sff	5.5	28-Aug-09	Kala-4ChickenInulin	Kala	4	chicken	inulin	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
538	SAMN01889130	SRX220123	7	16	SRR653263	SRS387705	Kala-3ChickenYCW.454Reads.sff	5.5	7-Aug-09	Kala-3ChickenYCW	Kala	3	chicken	YCW	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
532	SAMN01889133	SRX220126	15	35	SRR653266	SRS387707	Kala-6BeefInulin.454Reads.sff	5.5	9-Oct-09	Kala-6BeefInulin	Kala	6	beef	inulin	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
547	SAMN01889134	SRX220127	4	11	SRR653267	SRS387709	Kala-Kibble.454Reads.sff	5.5	1-May-09	Kala-Kibble	Kala	none	kibble	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
545	SAMN01889136	SRX220129	6	15	SRR653269	SRS387711	Molly-2BeefInulin.454Reads.sff	6	17-Jul-09	Molly-2BeefInulin	Molly	2	beef	inulin	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
540	SAMN01889138	SRX220131	8	18	SRR653271	SRS387713	Molly-4BeefYCW.454Reads.sff	6	28-Aug-09	Molly-4BeefYCW	Molly	4	beef	YCW	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
545	SAMN01889141	SRX220134	6	15	SRR653274	SRS387715	Molly-Kibble.454Reads.sff	6	1-May-09	Molly-Kibble	Molly	none	kibble	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
545	SAMN01889143	SRX220136	8	19	SRR653276	SRS387717	Tyra-2BeefControl.454Reads.sff	6	17-Jul-09	Tyra-2BeefControl	Tyra	2	beef	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
547	SAMN01889145	SRX220138	7	17	SRR653278	SRS387719	Tyra-4ChickenControl.454Reads.sff	6	28-Aug-09	Tyra-4ChickenControl	Tyra	4	chicken	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
542	SAMN01889146	SRX220139	7	18	SRR653279	SRS387720	Tyra-5BeefInulin.454Reads.sff	6	18-Sep-09	Tyra-5BeefInulin	Tyra	5	beef	inulin	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
